"kanji","hanviet","radical","stroke","onyomi","level","kunyomi","meaning"
涎,"TIÊN,DIỆN,DUYÊN",THỦY【水】,10,セン、ゼン、エン,N0,よだれ,"nước dãi, nước chảy theo dòng dài và nhỏ"
乘,THỪA,PHIỆT【丿】,10,ジョウ,N0,の.る、の.せる,"số mũ, phép nhân, bản ghi, đếm số xe, đi xe, cho đi xe, xem 乗"
疽,THƯ,NẠNH【疒】,10,ソ、ショ,N0,"",mụn bọc (có rễ sâu)
恕,THƯ,TÂM【心】,10,ジョ、ショ,N0,ゆる.す,tha thứ
俶,THỤC,NHÂN【人】,10,シュク、テキ,N0,はじめ、よい,"bắt đầu, tốt, tuyệt vời"
埀,THÙY,THỔ【土】,10,スイ,N0,た.れる、た.らす、なんなんと.す,"treo, rủ xuống, đu đưa, xem 垂"
倅,"THỐI,TỐT",NHÂN【人】,10,サイ、ソツ、ソチ,N0,せがれ,"chức phó giúp việc, con trai (của mình)"
悛,THOAN,TÂM【心】,10,シュン、セン,N0,あらた.める,"cải tạo, cải thiện"
舐,THỈ,THIỆT【舌】,10,シ,N0,ねぶ.る、な.める,"liếm, liếm bằng lưỡi, nếm, trải qua, đốt cháy"
倩,THIẾN,NHÂN【人】,10,セン、セイ,N0,つらつら、うつく.しい,"cẩn thận, chăm chú, một cách cực kỳ, sâu xa, xinh đẹp"
涕,THẾ,THỦY【水】,10,テイ、タイ,N0,なみだ、な.く,"nước mắt, khóc"
栖,THÊ,MỘC【木】,10,セイ,N0,"","tổ (thú, chim, ong), mạng nhện, sào huyệt"
宸,THẦN,MIÊN【宀】,10,シン,N0,のき,"dinh thự, địa vị vương chủ, mái hiên"
晒,TẨY,NHẬT【日】,10,サイ、シ,N0,さら.す、さらし,"tẩy trắng, tinh lọc, phơi bày, sự tẩy trắng"
叟,TẨU,HỰU【又】,10,ソウ、シュウ,N0,おきな,ông già
秦,TẦN,HÒA【禾】,10,シン,N0,はた,"nhà tần, bên ngoài, người nhập tịch"
晉,TẤN,NHẬT【日】,10,シン,N0,すす.む、さしもの,"tiến lến, vật để chỉ chỏ hình chữ nhật đeo ở thắt lưng, tên một nước đời xuân thu, vua thành vương nhà chu phong em la thúc ngu ra làm vua đất tấn, biệt xưng của tỉnh sơn tây, trung quốc, sau thời tam quốc, tư mã viêm lấy nước của nhà ngụy lên làm vua gọi là nhà tấn, tên một nước thời ngũ đại, nối nhà hậu đường len làm vua gọi là nước tấn, sử gọi là nhà hậu tấn, quẻ thứ 64 trong chu dịch, xem 晋"
晋,TẤN,NHẤT【一】,10,シン,N0,"","tiến thêm, tên (quẻ, nước)"
蚤,TẢO,TRÙNG【虫】,10,ソウ,N0,のみ、はやい,"con bọ chét, sớm, cùng nghĩa với chữ tảo 早"
芻,SÔ,TRIỆT【屮】,10,スウ、シュウ、ス,N0,まぐさ,cỏ khô (cho trâu bò)
翅,SÍ,CHI【支】,10,シ,N0,つばさ、ひれ、だた.に,"cánh ngắn, thẳng của các loài chim, loài sâu, vây cá, chỉ, duy nhất"
柴,SÀI,MỘC【木】,10,サイ、ゼ,N0,しば,"vật thô mạt kết bằng cây nhỏ &amp, cỏ, bụi cây, củi"
套,SÁO,ĐẠI【大】,10,トウ,N0,かさ.ねる,"vỏ bọc, công thức có sẵn, nhàm (lời lẽ, điệu bộ)"
娑,SA,NỮ【女】,10,シャ、サ,N0,"",người đàn bà có tuổi
紗,SA,MỊCH【糸】,10,サ、シャ,N0,うすぎぬ,"lụa mỏng, vải thưa"
拳,QUYỀN,THỦ【手】,10,ケン、ゲン,N0,こぶし,nắm đấm
娟,QUYÊN,NỮ【女】,10,エン、ケン,N0,"",vẻ đẹp của khuôn mặt
涓,QUYÊN,THỦY【水】,10,ケン,N0,しずく、おち.る、えら.ぶ、いさぎよ.い,"dòng nước nhỏ, nhỏ bé tí teo, giọt nước tí teo rơi, kén chọn, sạch sẽ, thanh khiết"
捐,QUYÊN,THỦ【手】,10,エン,N0,す.てる,vứt bỏ
悁,QUYÊN,TÂM【心】,10,エン、ケン,N0,"","lo lắng, giận dữ, nóng vội"
桂,QUẾ,MỘC【木】,10,ケイ,N0,かつら,cây quế
倔,QUẬT,NHÂN【人】,10,クツ,N0,つよ.い,"bướng bỉnh, ngoan cố"
桔,"QUẤT,CÁT",MỘC【木】,10,キツ、ケツ,N0,みかん、たちばな,"cách hút nước giếng bằng cơ chế phản trọng, cây hoa chuông, một loại cây lâu năm, ra hoa màu tím hay trắng vào đầu mùa thu (một trong 7 loại cây mùa thu ở nhật bản), cam quít"
柧,QUA,MỘC【木】,10,コ、カ,N0,かど,góc
俯,PHỦ,NHÂN【人】,10,フ,N0,ふ.す、うつむ.く、ふ.せる,"uốn xuống, cong xuống, nằm úp, cúi đầu"
逢,PHÙNG,SƯỚC【辷】,10,ホウ,N0,あ.う、あ.わせる,gặp
埔,PHỐ,THỔ【土】,10,ホ,N0,"",dùng trong tên của người trung quốc
圃,PHỐ,VI【囗】,10,ホ、フ,N0,はたけ、にわ,"cánh đồng, vườn"
峯,PHONG,SƠN【山】,10,ホウ,N0,みね、ね,"đỉnh núi, chóp bu, xem 峰"
匪,PHỈ,PHƯƠNG【匚　匸 】,10,ヒ,N0,あら.ず、はこ,"phủ nhận, hộp có hai cánh cửa, quân giặc cướp"
娉,PHINH,NỮ【女】,10,ヘイ、ヒョウ,N0,と.う,"hỏi tên phụ nữ, cưới vợ"
倭,"OẢI,NỤY",NHÂN【人】,10,ワ、イ,N0,やまと、したが.う、まさ、やす,người nhật cổ
冤,OAN,MỊCH【冖】,10,エン、オン,N0,うらみ,"oan ức, nỗi hận bị chế áp"
紐,NỮU,MỊCH【糸】,10,チュウ、ジュウ,N0,ひも、むすぶ,"sợi, trói, liên kết"
涅,NIẾT,THỦY【水】,10,デツ、ネツ、ネ,N0,"","đất bùn đen, bị vấy bùn, bị vấy đen"
蚋,NHUẾ,TRÙNG【虫】,10,ゼイ、ネ、ネイ,N0,ぶよ、ぶゆ、ぶと,con ve (hút máu)
恁,NHẬM,TÂM【心】,10,イン、ジン、ニン,N0,"","giống như, theo cách đó"
氤,NHÂN,KHÍ【气】,10,イン,N0,"","hòa hợp về tinh thần, đất trời hòa hợp"
圄,NGỮ,VI【囗】,10,ゴ、ギョ,N0,ひとや,"nhà tù, sự bắt bớ"
唔,NGỘ,KHẨU【口】,10,ゴ,N0,"",giọng đọc
倪,NGHÊ,NHÂN【人】,10,ゲイ、ガイ,N0,きわ,nhìn chòng chọc
峨,NGA,SƠN【山】,10,ガ,N0,けわ.しい,"núi cao, dốc đứng"
峩,NGA,SƠN【山】,10,ガ,N0,けわ.しい,dốc đứng
娥,NGA,NỮ【女】,10,ガ,N0,みめよ.い,đẹp
哦,NGA,KHẨU【口】,10,ガ,N0,"","ngâm thơ, ngâm nga"
迺,NÃI,SƯỚC【辷】,10,ナイ、ダイ,N0,すなわ.ち、そこで、やっと、とうとう、なんと,"hay là, đó là, ở đây, sau đó, theo đó, bây giờ, cuối cùng (sau bao nhiêu khó nhọc), dần dần (một cách khách quan), cái gì, cảm thán từ, xem 乃"
拿,NÃ,NHÂN【人】,10,ダ、ナ,N0,つか.む、ひ.く,"nắm, bắt"
捏,NÁT,THỦ【手】,10,ネツ、テツ、ネチ,N0,こ.ねる、ね.る、つく.ねる,"nhào trộn, làm láng, bóng, đúc nặn"
娚,NAM,NỮ【女】,10,ナン,N0,めおと,nói ầm ĩ
娜,NA,NỮ【女】,10,ダ、ナ,N0,"","duyên dáng, thanh nhã, yêu kiều"
們,MÔN,NHÂN【人】,10,モン,N0,ともがら,hậu tố số nhiều
冥,MINH,MỊCH【冖】,10,メイ、ミョウ,N0,くら.い、かすか,"thâm sâu, ngu đần, tối tăm, mờ nhạt"
耄,MẠO,LÃO【老】,10,ボウ、モウ,N0,おいぼ.れる,"người già tám, chín mươi tuổi, trở nên già cả"
旄,MAO,PHƯƠNG【方】,10,ボウ、モウ,N0,はた,"tua cờ, lông một loài bò tây tạng, người già"
粍,MAO,MỄ【米】,10,ミリメートル,N0,みりめーとる,"1/1000 mét"
莉,LỴ,THẢO【艸】,10,リ、ライ、レイ,N0,"","cây mạt ly, hoa lài"
浬,"LÝ,LÍ",THỦY【水】,10,リ,N0,かいり,"hải lý, 1 hải lý dài 1852 m hay 6080 foot anh"
哩,LÝ,KHẨU【口】,10,リ,N0,まいる,"dặm biển, hải lý (mile)"
狸,LY,KHUYỂN【犬】,10,リ、ライ,N0,たぬき,con hồ ly
倆,LƯỠNG,NHÂN【人】,10,リョウ,N0,たくみ,kỹ năng
凉,LƯƠNG,BĂNG【冫】,10,リョウ,N0,すず.しい、すず.む、すず.やか、うす.い、ひや.す、まことに,"mát, làm mát, xem 涼"
悧,LỢI,TÂM【心】,10,リ,N0,"","lanh lợi, khôn ngoan"
哢,LỘNG,KHẨU【口】,10,ロウ,N0,さえず.る,hót (hát) líu lo
埒,"LIỆT,LẠT",THỔ【土】,10,レツ、ラツ、ラチ,N0,らち.があく、かこ.い,"giới hạn, đi đến cuối, hàng rào"
埓,"LIỆT,LẠT",THỔ【土】,10,レツ、ラツ、ラチ,N0,らち.があく、かこ.い,"giới hạn, đi đến cuối, hàng rào, xem 埒"
唳,LỆ,KHẨU【口】,10,レイ,N0,れつ,"tiếng khóc, tiếng ngỗng trời, tiếng ve sầu"
捩,LỆ,THỦ【手】,10,レイ、レツ,N0,ね.じる、よじ.る、ねじ.れる、も.じる,"vặn, xoáy, bị vặn, bị xoáy, nhại lại, bắt chước"
凌,LĂNG,BĂNG【冫】,10,リョウ,N0,しの.ぐ,"kéo dài, tránh (mưa), ngăn chặn, khắc phục, thách thức, coi thường, vượt trội"
栗,LẬT,TÂY【襾】,10,リツ、リ,N0,くり,"hạt dẻ, oai nghiêm, bền"
悋,LẬN,TÂM【心】,10,リン,N0,ねた.む、やぶさか、お.しむ,"ganh ghét, đố kỵ, không hài lòng, không sẵn lòng, hẹp hòi, keo kiệt"
烙,LẠC,HỎA【火】,10,ラク、カク,N0,や.く、あぶ.る,áp lửa (không cho nước vào)
剞,KỲ,ĐAO【刀】,10,キ,N0,きざ.む,"khắc, chạm"
屐,KỊCH,THI【尸】,10,ゲキ、ケキ,N0,はきもの,cái guốc
勍,KÌNH,LỰC【力】,10,ケイ,N0,つよ.い,"mạnh mẽ, dữ dội"
徑,"KINH,KÍNH",SÁCH【彳】,10,ケイ,N0,みち、こみち、さしわたし、ただちに,"con đường, phương pháp, đường nhỏ, hẻm, đường kính, ngay lập tức"
衾,KIM,NHÂN【人】,10,キン,N0,ふすま,"chăn, mền, gối"
框,KHUÔNG,MỘC【木】,10,キョウ,N0,かまち,"khung cửa, khung giường"
恚,KHUỂ,TÂM【心】,10,イ,N0,いか.る,tức giận
珪,KHUÊ,NGỌC【玉、王】,10,ケイ、カイ,N0,"","""ngọc khí, được thiên tử ban tặng cho các chư hầu lúc chư hầu nhận tấn phong, như 圭, nguyên tố silic, như <a href="""" 硅"""
悃,KHỐN,TÂM【心】,10,コン,N0,まごころ,"thành thật, thật thà"
哭,KHỐC,KHUYỂN【犬】,10,コク,N0,"",khóc
倥,KHÔNG,NHÂN【人】,10,コウ,N0,ぬか.る,"cục mịch, khẩn cấp"
桍,KHÔ,MỘC【木】,10,コ,N0,"","một loại cây, trống rỗng"
氣,KHÍ,KHÍ【气】,10,キ、ケ,N0,いき,"dạng cũ của 気, hơi thở, thể khí, gas, nguyên khí, khí lực của con người, khí thể bảo vệ con người (y học trung hoa), khí hậu, khí vận, linh khí, tính khí"
挈,KHIẾT,THỦ【手】,10,ケイ、ケツ,N0,ひっさ.げる,"mang vật gì bằng tay, xách tay"
尅,KHẮC,THỐN【寸】,10,コク,N0,かつ,"chiến thắng, xem 剋"
冦,KHẤU,MỊCH【冖】,10,コウ,N0,あだ.する,"kẻ thù, trả thù, hận thù"
栲,KHẢO,MỘC【木】,10,コウ,N0,たえ,"cây sơn, cây muối (cho chất thuộc da tannin), vải dệt từ sợi cây"
豈,"KHẢI,KHỞI",SƠN【山】,10,カイ、ガイ、キ,N0,あに,thán từ biểu lộ sự ngạc nhiên
唏,HY,KHẨU【口】,10,キ,N0,なげ.く,"than vãn, đau buồn"
栩,HỦ,MỘC【木】,10,ク,N0,くぬぎ,một loại sồi
眩,HUYỄN,MỤC【目】,10,ゲン、カン,N0,くら.む、くら.ます、くるめ.く、まぶ.しい、まど.う、めま.い,"chói lòa, gây chói lòa, sáng chói, loá mắt, gây chói mắt, choáng váng, chóng mặt"
痃,HUYỀN,NẠNH【疒】,10,ゲン、ケン,N0,"","bệnh co giật, bệnh sưng bạch hạch"
晦,HỐI,NHẬT【日】,10,カイ,N0,"","ngày cuối tháng âm lịch, tối tăm"
宦,HOẠN,MIÊN【宀】,10,カン,N0,つかさ,"công chức, cắt dương vật"
晄,HOẢNG,NHẬT【日】,10,コウ,N0,あきらか、ひかり,"ánh sáng tràn ngập 4 phía, ánh sáng"
晃,HOẢNG,NHẬT【日】,10,コウ,N0,"",sáng
紘,HOÀNH,MỊCH【糸】,10,コウ,N0,"","rộng lớn, tua mũ, viền"
莞,"HOÀN,HOẢN",THẢO【艸】,10,カン,N0,い、まる.い,"cỏ cói dùng để dệt chiếu, trơn tru"
桓,HOÀN,MỘC【木】,10,カン、ガン,N0,"","cây cắm xung quanh trạm liên lạc như là một dấu hiệu, cái nêu, dùng để cắm 4 góc trên nhà và mồ mả, mạnh mẽ, dũng cảm"
浣,"HOÁN,CÁN",THỦY【水】,10,カン、ガン,N0,あら.う,"tắm giặt, ngày xưa cứ mười ngày quan lại được cho nghỉ một lần để tắm giặt, cho nên mười ngày gọi là hoán, một tháng ba kỳ gọi là thượng hoán 上浣, trung hoán 中浣, hạ hoán 下浣, cũng như thượng tuần 上旬, trung tuần 中旬, hạ tuần 下旬"
埖,HOA,THỔ【土】,10,"",N0,ごみ,rác rưởi
崋,HOA,SƠN【山】,10,カ、ゲ,N0,"","hoa sơn, một trong ngũ nhạc"
效,HIỆU,PHỘC【攴　攵】,10,コウ,N0,き.く、ききめ、なら.う,"có hiệu quả, ảnh hưởng, hiệu quả, bắt chước, xem 効"
峽,HIỆP,SƠN【山】,10,キョウ、コウ,N0,はざま、かい,hẻm núi
挾,HIỆP,THỦ【手】,10,キョウ、ショウ,N0,はさ.む、はさ.まる,"nhét, xen, chen vào giữa, kẹt, nằm giữa"
哮,HIẾU,KHẨU【口】,10,コウ,N0,ほ.える、た.ける,"rống, hú, gầm"
奚,HỀ,ĐẠI【大】,10,ケイ,N0,なんぞ,nghi vấn từ sao ? đâu ? gì ?
浩,HẠO,THỦY【水】,10,コウ,N0,"","mở rộng, lớn, nhiều"
倖,HẠNH,NHÂN【人】,10,コウ,N0,しあわ.せ、さいわ.い,"hạnh phúc, vận may, may mắn, lời cầu nguyện"
悍,HÃN,TÂM【心】,10,カン,N0,たけし、あらし,"hung hãn, thô lậu, vụng về"
桁,"HÀNH,HÀNG",MỘC【木】,10,コウ,N0,けた,"đếm số chữ số, số cột, xà ngang, tấm ván đặt trên 4 chân dùng trong đám ma, cùm cổ và cùm tay làm bằng hai cái gậy dài, cầu làm bằng cách xếp liền các thuyền lại với nhau, sào treo quần áo"
痂,GIÀ,NẠNH【疒】,10,カ、ケ,N0,かさ.ぶた,"vảy, mày"
埆,GIÁC,THỔ【土】,10,カク,N0,きそ.う,vùng đất cằn cỗi
這,"GIÁ,NGHIỆN",SƯỚC【辷】,10,シャ、ゲン,N0,むか.える、これ、この、は.う,"đón, cái này, bò, trườn"
档,ĐƯƠNG,MỘC【木】,10,トウ,N0,"","ghế gỗ, kệ sách, nơi lưu trữ thư văn"
桐,ĐỒNG,MỘC【木】,10,トウ、ドウ,N0,きり,"cây đồng, cây ngô đồng (gỗ làm đàn)"
畠,ĐỒNG,BẠCH【白】,10,"",N0,はた、はたけ,"vườn, đồng ruộng, đồn điền"
疼,ĐÔNG,NẠNH【疒】,10,トウ、ドウ,N0,いた.む、うず.く、かわい.がる,"đau đớn, day dứt khổ sở, âu yếm"
挺,ĐĨNH,THỦ【手】,10,チョウ、テイ,N0,ぬ.く、ぬきんでる、はし.る,"số đếm súng, cọ vẽ, kiệu, xe kéo, kéo, rút, xuất chúng, chạy"
釘,ĐINH,KIM【金】,10,テイ、チョウ,N0,くぎ,"đinh mũ, cái chốt, cái móc, cái mắc"
凋,ĐIÊU,BĂNG【冫】,10,チョウ,N0,しぼ.む,"làm héo, làm mờ dần, làm teo lại"
悌,ĐÊ,TÂM【心】,10,テイ、ダイ,N0,"","hòa thuận, huynh trưởng"
蚪,ĐẨU,TRÙNG【虫】,10,ト、ツ、トウ,N0,"","con nòng nọc, xem 蝌"
疸,ĐẢM,NẠNH【疒】,10,タン,N0,"",bệnh vàng da
耽,ĐAM,NHĨ【耳】,10,タン,N0,"","ngừng nghỉ, làm chậm lại, đam mê"
峪,DỤ,SƠN【山】,10,ヨク,N0,たに,thung lũng
涌,DŨNG,THỦY【水】,10,ヨウ、ユウ,N0,わ.く,"phun trào, phát sinh lỗi, suy nghĩ một cách vô ý thức"
剔,DỊCH,ĐAO【刀】,10,テキ、テイ,N0,そ.ぐ,"cắt lát mỏng bằng dao sắc, bào nhẵn mặt phẳng, loại bỏ phần xấu"
蚓,DẪN,TRÙNG【虫】,10,イン,N0,みみず,con giun đất
倨,CỨ,NHÂN【人】,10,キョ、コ,N0,おご.る,"kiêu căng, ngạo mạn, ngồi khoanh chân kiểu ấn độ (hồ tọa)"
矩,CỦ,THỈ【矢】,10,ク,N0,かね,"khuôn vuông, phép tắc"
赳,CỦ,TẨU【走】,10,キュウ,N0,"",vũ dũng
躬,CUNG,THÂN【身】,10,キュウ、ク、クウ,N0,み、わがみ,"thân mình, tự mình, cúi mình xuống theo hình cánh cung"
桧,CỐI,MỘC【木】,10,カイ、ケ,N0,ひのき,"dạng khác của 檜, một loại thông nhật, vật trang sức trên quan tài, tên một nước thời xuân thu"
蚣,CÔNG,TRÙNG【虫】,10,コウ、ク、ショウ、シュ,N0,むかで,"con rết, xem 蜈"
烝,"CHƯNG,CHỨNG",HỎA【火】,10,ジョウ、ショウ,N0,む.す,"hấp, chưng, thông dâm với người trên, nhiều, đông, một đại lễ vào mùa đông"
粃,CHỦY,MỄ【米】,10,ヒ,N0,しいな,"ngũ cốc toàn vỏ, tình trạng không có gì, vật xấu"
隼,CHUẨN,CHUY【隹】,10,シュン、ジュン,N0,"",chim chuẩn (giống diều hâu)
砥,CHỈ,THẠCH【石】,10,シ,N0,と、といし、たいら.にする、と.ぐ、みが.く,"đá mài dao, mài giũa cho bằng phẳng, mài"
栴,CHIÊN,MỘC【木】,10,セン,N0,"","chiên đàn, một thứ gỗ thơm, tức là cây đàn hương"
旃,CHIÊN,PHƯƠNG【方】,10,セン,N0,あかはた、これ,"cờ màu đỏ dùng để chỉ huy quân lính và nhân phu, cờ cán cong dùng để chỉ huy, quần áo bằng bông dạ, chỉ vật ở gần, cái này, câu dùng để điều chỉnh thanh âm của một câu thơ"
疹,CHẨN,NẠNH【疒】,10,シン、チン,N0,"",ngứa
眞,CHÂN,TRỦY【匕】,10,シン,N0,ま、まこと、さな、ち、まこ、まさ、まつ,"đúng thực, rõ ràng, tin tưởng, thật sự, xem 真"
冓,CẤU,QUYNH【冂】,10,コウ,N0,"",việc xếp thân cây hay trúc thành một khối lục diện đồng đều và giống nhau
倶,CÂU,NHÂN【人】,10,グ、ク,N0,とも.に,cả hai
捍,"CẢN,HÃN",THỦ【手】,10,カン,N0,ふせ.ぐ,"ngăn cản, bảo vệ, xem 扞"
哽,"CÁNH,NGẠNH",KHẨU【口】,10,コウ,N0,むせ.ぶ,khóc nức nở
栞,CAN,MỘC【木】,10,カン,N0,しおり、しお.る,"cành cây bị bẻ để đánh dấu đường đi khi đi rừng, vật dùng để đánh dấu trang sách đọc dở, bẻ cây đánh dấu đường"
疳,CAM,NẠNH【疒】,10,カン,N0,"","1) bệnh mãn tính xảy ra ở trẻ em do ăn quá nhiều đồ ngọt khiến bụng ỏng, đít teo, 2) một loại bệnh hoa liễu, gây nổi mụn ở bộ phận sinh dục nữ, 3) bệnh rò mủ ở răng, 4) bệnh thần kinh ở trẻ em, gây chứng động kinh"
哥,CA,NHẤT【一】,10,カ、コ,N0,あに、うた,"anh, bài hát"
唄,BỘI,KHẨU【口】,10,バイ,N0,うた、うた.う,"bài hát, hát với đàn ba dây của nhật (samisen)"
悖,BỘI,TÂM【心】,10,ハイ、ボツ,N0,もと.る,chống đối
捗,BỘ,THỦ【手】,10,チョク、ホ,N0,はかど.る,tiến triển
畚,BỔN,KHƯ【厶】,10,ホン,N0,もっこ、ふご,vật dụng giống như cái giỏ đan bằng rơm hay tre dùng để chứa và mang vật
哺,BÔ,KHẨU【口】,10,ホ,N0,はぐく.む、ふく.む,"cho bú, bú"
蚌,BẠNG,TRÙNG【虫】,10,ボウ、ホウ,N0,はまぐり、からすが.い、どぶが.い,con trai
亳,BẠC,ĐẦU【亠】,10,ハク,N0,"","ðất bạc, chỗ kinh đô vua thang, ở tỉnh hà nam bên trung quốc bây giờ"
疱,BÀO,NẠNH【疒】,10,ホウ,N0,"",bọc mụn
旁,BÀNG,ĐẦU【亠】,10,ボウ、ホウ,N0,つくり、かたがた、かたわら,"nửa phải của một chữ hán khi nửa trái là một bộ gốc, cùng lúc, bên cạnh"
捌,BÁT,THỦ【手】,10,ハツ、ハチ、ベツ,N0,さば.く、さば.ける、は.け,"trang điểm, xử trí, bán hàng, phán quyết, bán, hiểu biết rộng, cởi mở, việc thoát nước, sự bán hàng, nhu cầu"
豹,BÁO,TRỈ【豸】,10,ヒョウ、ホウ,N0,"",con báo
旆,BÁI,PHƯƠNG【方】,10,ハイ,N0,はた,cờ phướn nhiều màu
栢,BÁCH,MỘC【木】,10,ハク、ヒャク,N0,ひのき、かしわ、う.つ,"cây bách, vỗ hay tay vào nhau"
剥,BÁC,ĐAO【刀】,10,ハク、ホク,N0,へ.ぐ、へず.る、む.く、む.ける、は.がれる、は.ぐ、は.がす、は.げる,"nhổ ra, bóc ra, xé toạc, lột da, cởi quần áo, lấy đi, ăn cắp vặt, bóc, lột, làm xước, không thành công, giật ra, bong ra, được mang ra khỏi, làm mờ, làm bạc màu"
袢,BAN,Y【衣】,10,ハン,N0,"","kimono mùa hè, quần áo ngắn"
悒,ẤP,TÂM【心】,10,ユウ,N0,ふさ.ぐ、うれ.える,"bị suy nhược, chán nản, sợ hãi, lo lắng"
殷,ÂN,THÙ【殳】,10,イン、アン,N0,さかん,"sự hưng thịnh, phát đạt"
唖,Á,KHẨU【口】,10,ア、アク,N0,おし,người câm điếc
埃,AI,THỔ【土】,10,アイ,N0,ほこり、ちり,bụi
偃,YỂN,NHÂN【人】,11,エン,N0,ふ.せる,"đập nước, nằm xuống"
掩,YỂM,THỦ【手】,11,エン,N0,おお.う,che dấu
焉,YÊN,NHẤT【一】,11,エン,N0,いずく.んぞ、ここに、これ,"như thế nào, tại sao, liền sau đó, ở đây, cái này"
處,XỬ,HỔ【虍】,11,ショ,N0,"","xử lý, cư xử, xem 処"
娼,XƯỚNG,NỮ【女】,11,ショウ,N0,あそびめ,gái mại dâm
啜,XUYẾT,KHẨU【口】,11,セツ、テツ,N0,すす.る,"hớp, húp sùm sụp, nhai soàm soạp, bú"
釧,XUYẾN,KIM【金】,11,セン,N0,くしろ,"cái xuyến, vòng tay, đồ trang sức của đàn bà."
厠,XÍ,HÁN【厂】,11,シ、ショク,N0,かわや,"nhà xí, nhà vệ sinh"
惘,VÕNG,TÂM【心】,11,ボウ、モウ,N0,あき.れる,"không rõ ràng, làm ngạc nhiên, làm kinh hoàng"
梶,VĨ,MỘC【木】,11,ビ,N0,こずえ、かじ、くわ,"ngọn cây, bánh lái, tay lái bằng gỗ, cây dâu tằm"
唹,Ư,KHẨU【口】,11,オ,N0,"",cười
萎,ÙY,THẢO【艸】,11,イ,N0,な、な.える、しお.れる、しな.びる、しぼ.む,"héo tàn, ủ rũ, héo, khập khiễng, làm héo, để tàn héo, mờ dần, để héo, làm teo lại"
婉,UYỂN,NỮ【女】,11,エン,N0,うつく.しい、したが.う,"duyên dáng, theo"
婢,"TỲ,TÌ",NỮ【女】,11,ヒ,N0,はしため,đầy tớ gái
疵,"TỲ,TÌ",NẠNH【疒】,11,シ,N0,きず,"chỗ gãy, chỗ bất thường, vết sước"
敍,TỰ,PHỘC【攴　攵】,11,ジョ,N0,のべ.る,"thứ bậc, thuật lại theo thứ tự, xem 叙"
敘,TỰ,PHỘC【攴　攵】,11,ジョ,N0,のべ.る,"thứ bậc, thuật lại theo thứ tự, xem 叙"
梓,TỬ,MỘC【木】,11,シ,N0,あずさ,"cây tử, làm đồ gỗ"
掫,TƯU,THỦ【手】,11,ソウ、スウ、ス、シュ,N0,まも.る、も.つ,"canh đêm, cầm chặt bằng tay"
雀,TƯỚC,PHIỆT【丿】,11,ジャク、ジャン、サク、シャク,N0,すずめ,"chim sẻ, nhảy nhót"
將,"TƯƠNG,TƯỚNG",THỐN【寸】,11,ショウ、ソウ,N0,まさ.に、ひきい.る、はた、もって、まさる,"tướng quân, bận làm gì, cầm đầu, chỉ huy, xem 将"
醬,TƯƠNG,DẬU【酉】,11,ショウ,N0,ひしお,tương ăn (đậu và ngô)
偲,TƯ,NHÂN【人】,11,サイ、シ,N0,しの.ぶ,"nhớ lại, hồi tưởng, suy nghĩ đến cái chất"
悴,TỤY,TÂM【心】,11,スイ,N0,せがれ、やつ.れる,"đứa con trai, trở nên tiều tụy, hốc hác"
從,"TÙNG,TÒNG",SÁCH【彳】,11,ジュウ、ショウ、ジュ,N0,したが.う、したが.える、より,"đi theo, bị đi theo, với, xem 従"
彗,TUỆ,KÝ【ヨ】,11,スイ、エ、ケイ、セイ,N0,ほうき,sao chổi
羞,TU,DƯƠNG【羊】,11,シュウ、シュ,N0,はじ.る、はずかし.める、すすめ.る,"xấu hổ, làm cho ai xấu hổ, xúc phạm, đãi ăn, thịt cắt mỏng và dài"
脩,TU,NHÂN【人】,11,シュウ,N0,"","nem, khô, sửa trị"
埴,TRỰC,THỔ【土】,11,ショク,N0,はに、へな,đất sét
悵,TRƯỚNG,TÂM【心】,11,チョウ,N0,いた.む、うら.む,"đau buồn, ghét, hận"
惆,TRÙ,TÂM【心】,11,チュウ,N0,うら.む,"làm đau lòng, gây thất vọng"
晝,TRÚ,NHẬT【日】,11,チュウ,N0,ひる,"buổi trưa, ban ngày, xem 昼"
痔,TRĨ,NẠNH【疒】,11,ヂ、ジ,N0,"",bệnh trĩ
砦,TRẠI,THẠCH【石】,11,サイ、ゼ,N0,とりで、まがき,"pháo đài nhỏ làm bằng đá và cây, vùng được ken dày bằng cây cối và bụi tre"
琢,"TRÁC,CHÁC",NGỌC【玉、王】,11,タク,N0,"","mài ngọc, chau giồi"
啅,TRÁC,KHẨU【口】,11,タク、トウ,N0,"","ồn ào, líu lo"
崢,TRANH,SƠN【山】,11,ソウ,N0,"","cao, dốc đứng"
埣,TỐT,THỔ【土】,11,ソツ,N0,"",vùng đất cằn cỗi
做,TỐ,NHÂN【人】,11,サ、サク、ソ,N0,つく.る、な.す、す.る、な.る、お.きる、おこ.る,"dạng khác của 作, chế tạo, làm, trở nên, hoạt động, phát sinh, phát tác, vật đã được chế tạo"
旌,TINH,PHƯƠNG【方】,11,セイ、ショウ,N0,あら.わす、はた,"chưng công tích, cờ bằng lông chim sặc sỡ"
捷,TIỆP,THỦ【手】,11,ショウ、ソウ,N0,はや.い、かつ,"nhanh nhẹn, thắng trận"
剪,TIỆN,BÁT【八】,11,セン,N0,き.る、はさ.む,"cắt gọt, kẹp, tỉa"
逍,TIÊU,SƯỚC【辷】,11,ショウ,N0,"","đi tản bộ, đi thơ thẩn"
